-2.4520	-20.8727	3.5320	-1.2726	4.1156	1.4817	-11.9971	-5.6019	8.6716	1.5655	2.6166	-4.5968	-0.5978	6.6283
-2.5510	-0.6350	12.0276	4.5724	3.2712	-2.7374	-13.2655	-14.9647	7.1049	-5.6358	7.3262	-7.9182	-7.9609	6.7483
-2.4154	7.5090	4.8341	5.3484	7.0588	-11.9303	0.7989	-17.3211	4.9037	-8.7024	12.6312	-7.4770	-3.2742	6.8384
-2.1714	10.5269	0.2587	11.7899	14.1914	-18.0897	1.4681	-22.0339	-4.6089	8.0592	4.6487	-7.4585	-1.8897	7.2709
-2.1890	11.4486	-4.4903	15.0418	25.2251	-21.5837	5.8867	-25.0215	-7.1188	14.5559	-7.4900	-9.2983	2.4321	7.8463
-2.5021	8.9719	-2.4857	17.3123	28.4799	-22.4704	4.7229	-25.4642	-6.8786	16.6387	-11.3401	-11.4112	5.6373	8.0044
-3.1312	7.1752	-2.3222	17.5880	32.5238	-12.6691	3.3480	-18.9772	-0.8071	3.6167	-13.1490	0.4255	3.3427	7.6796
-2.7476	2.6999	-4.0058	13.1765	11.6272	-17.8205	6.4996	-19.9317	16.1738	11.7342	-9.1839	2.2709	5.0571	7.3847
-2.8657	-0.0303	-5.5193	9.0713	5.7079	-14.8308	9.8362	-18.6783	23.6647	19.2008	1.8266	5.6044	7.8919	7.5201
-2.9330	-1.2082	-4.4826	6.9175	-4.3377	-11.7540	4.7623	-19.1794	24.4770	14.7396	7.5071	5.1500	16.1382	7.4873
-3.5357	2.6452	-0.4275	-4.7773	-9.1862	6.9774	-3.4392	-21.6650	18.8534	7.9345	19.5028	-1.0066	-4.5862	7.2982
-3.4262	3.4123	-1.1995	-7.7086	-7.0065	10.6270	1.1545	-20.0383	23.1035	11.3466	26.6122	4.4376	-2.0004	7.6224
-3.6424	2.2430	0.3097	-5.1676	-6.7686	14.1791	3.6089	-18.0686	23.1841	7.0835	22.9944	-2.7521	-4.7378	7.4832
-3.8812	1.7282	2.7502	-4.2673	-10.2307	16.4996	9.7707	-17.1288	12.6776	2.3928	16.6244	-5.2864	5.5525	7.1787
-3.6735	-0.7416	6.7140	-1.0137	-12.3464	22.7774	7.7856	-21.4307	10.2396	6.3438	23.8564	-9.5508	1.2011	7.6296
-3.1405	2.0312	12.1484	6.1429	-10.8679	23.5577	12.2744	-26.2525	7.5147	-7.3793	17.4954	-11.9689	-6.9547	7.7497
-2.3034	3.8767	13.9763	10.0067	-3.2703	10.6456	6.6537	-33.5994	10.3709	4.6424	22.5084	-11.4487	-6.2986	7.7913
-1.9381	5.9400	13.8321	11.1188	0.3303	1.4876	11.0828	-39.7089	11.2888	7.6328	16.2628	-13.3932	-9.6105	7.9294
-2.0230	5.4285	13.7502	15.6284	4.5221	-1.7882	8.4819	-45.3732	4.3562	6.8333	13.7701	-11.0626	-3.6812	8.0105
-2.6139	7.7309	15.4633	20.9854	5.8601	-7.0575	11.7658	-38.5330	4.7276	4.4539	7.9392	-16.1481	-3.4293	7.9485
-3.6625	12.4817	21.1649	23.0052	4.7386	3.3335	19.2769	-34.1471	1.4353	2.5718	-10.3824	-20.2108	-2.2157	8.0856
-4.2232	14.3480	23.4378	25.9822	8.0784	2.3692	4.1674	-25.0013	-6.7190	-1.4432	-12.1088	-7.5253	-1.2767	7.7888
-4.5427	8.2379	19.7865	28.2143	9.9569	-0.7839	10.0466	-12.5320	-9.1719	-1.0230	-16.9015	-2.3881	-7.6246	7.6346
-0.8782	-4.1157	-8.3193	28.6341	-0.2119	-8.5516	22.1305	-35.4011	-8.2322	6.5730	-11.4802	-5.2351	16.1469	8.0876
-0.7501	-0.5977	-2.5510	32.3487	0.9991	-10.2023	15.1697	-42.8598	-11.8412	4.3526	-11.5695	-4.5404	15.3352	8.2361
-1.8969	7.4599	17.8273	22.3156	1.6923	-2.1122	-8.1220	-42.9842	2.5238	-7.3420	1.1038	-4.4210	0.6101	7.9646
-1.4898	10.5921	18.6686	10.8339	2.9270	-5.8260	-0.3518	-45.5438	3.3679	-16.5603	16.6339	-2.7639	-8.9359	8.1158
-1.2441	11.8773	20.3198	8.0649	-0.2313	-8.6937	1.1879	-44.7125	2.6250	-23.2270	19.6251	-0.6756	-10.1087	8.2244
-1.1694	14.0488	19.2665	2.2295	-15.8728	-9.1520	8.5316	-32.5127	-0.3566	-26.5127	18.1282	-4.2953	-7.5924	8.0546
-1.2341	11.3805	22.9637	1.7472	-23.2207	2.6985	7.7400	-36.0700	-11.2130	-29.4274	31.0225	0.5024	4.2359	8.4209
-1.2562	9.9458	21.3165	-3.5512	-23.0334	1.1278	8.5949	-28.0978	-6.4846	-27.4873	30.6431	2.6432	5.3855	8.2256
-1.2174	9.9578	18.4475	-4.3481	-21.4771	-1.9375	9.5070	-27.2226	-13.4328	-32.7258	25.9221	-0.9558	11.2242	8.2445
